Numbering,Author,Title,filename
1,Jacob Abbott,Caleb in the Country,abbott_1
2,Jacob Abbott,Charles I,abbott_2
3,Jacob Abbott,Cleopatra,abbott_3
4,Jacob Abbott,Cyrus the Great,abbott_4
5,Jacob Abbott,Darius the Great,abbott_5
6,Thomas Bailey Aldrich,Marjorie Daw,aldrich_1
7,Thomas Bailey Aldrich,The Cruise of the Dolphin,aldrich_2
8,Thomas Bailey Aldrich,The Little Violinist,aldrich_3
9,Thomas Bailey Aldrich,Mademoiselle Olympe Zabriski,aldrich_4
10,Thomas Bailey Aldrich,A Midnight Fantasy,aldrich_5
11,Grant Allen,The British Barbarians,allen_1
12,Grant Allen,Biographies of Working Men,allen_2
13,Grant Allen,Anglo-Saxon Britain,allen_3
14,Grant Allen,Charles Darwin,allen_4
15,Grant Allen,An African Millionaire,allen_5
16,Jane Austen,Northanger Abbey,austen_1
17,Jane Austen,Emma,austen_2
18,Jane Austen,Mansfield Park,austen_3
19,Jane Austen,Pride and Prejudice,austen_4
20,Jane Austen,Sense and Sensibility,austen_5
21,Charles Dickens,A Christmas Carol,dickens_1
22,Charles Dickens,David Copperfield,dickens_2
23,Charles Dickens,Bleak House,dickens_3
24,Charles Dickens,Oliver Twist,dickens_4
25,Charles Dickens,Holiday Romance,dickens_5
26,Christopher Marlowe,Edward the Second,marlowe_1
27,Christopher Marlowe,The Tragical History of Doctor Faustus,marlowe_2
28,Christopher Marlowe,The Jew of Malta,marlowe_3
29,Christopher Marlowe,Massacre at Paris,marlowe_4
30,Christopher Marlowe,Hero and Leander and Other Poems,marlowe_5
31,Herman Melville,Israel Potter,melville_1
32,Herman Melville,The Confidence-Man,melville_2
33,Herman Melville,Moby Dick; or The Whale,melville_3
34,Herman Melville,Omoo: Adventures in the South Seas,melville_4
35,Herman Melville,Typee,melville_5
36,William Shakespeare,Hamlet,shakespeare_1
37,William Shakespeare,Henry VIII,shakespeare_2
38,William Shakespeare,Julius Cesar,shakespeare_3
39,William Shakespeare,King Lear,shakespeare_4
40,William Shakespeare,Romeo and Juliet,shakespeare_5
41,Mark Twain,Adventures of Huckleberry Finn,twain_1
42,Mark Twain,A Horse's Tale,twain_2
43,Mark Twain,The Innocents Abroad,twain_3
44,Mark Twain,The Adventures of Tom Sawyer,twain_4
45,Mark Twain,A Tramp Abroad,twain_5
